,time,open,high,low,close,tick_volume,spread,real_volume
164,2020-08-20,1928.62,1955.23,1924.77,1945.62,201190,2,0
165,2020-08-21,1946.87,1955.88,1911.47,1940.27,178053,2,0
166,2020-08-24,1940.19,1961.77,1923.71,1928.72,152299,2,0
167,2020-08-25,1928.84,1937.51,1914.27,1928.09,150521,2,0
168,2020-08-26,1931.97,1954.84,1902.78,1953.47,153435,2,0
169,2020-08-27,1954.21,1976.71,1909.93,1929.03,177890,2,0
170,2020-08-28,1929.03,1973.83,1923.14,1963.99,170229,2,0
171,2020-08-31,1965.47,1976.64,1954.24,1967.63,144631,2,0
172,2020-09-01,1967.06,1992.41,1963.12,1970.88,159751,2,0
173,2020-09-02,1969.3,1973.25,1932.6,1943.51,162673,2,0
174,2020-09-03,1942.15,1951.03,1921.71,1930.7,165906,2,0
175,2020-09-04,1931.34,1947.67,1916.36,1933.06,162870,2,0
176,2020-09-07,1929.84,1941.32,1924.3,1928.21,76998,2,0
177,2020-09-08,1929.15,1940.89,1906.41,1931.4,155803,2,0
178,2020-09-09,1932.16,1950.86,1920.04,1946.97,122115,2,0
179,2020-09-10,1946.38,1966.6,1941.39,1946.11,142461,2,0
180,2020-09-11,1944.79,1954.76,1937.19,1940.2,127178,2,0
181,2020-09-14,1940.43,1962.75,1936.52,1956.46,106720,2,0
182,2020-09-15,1956.74,1972.17,1948.36,1953.66,120781,2,0
183,2020-09-16,1952.82,1973.58,1949.85,1959.86,136896,2,0
184,2020-09-17,1958.94,1960.95,1932.84,1944.29,150225,2,0
185,2020-09-18,1944.09,1960.06,1943.64,1950.04,116790,2,0
186,2020-09-21,1949.45,1955.58,1882.19,1912.4,173317,2,0
187,2020-09-22,1912.36,1920.03,1894.57,1900.39,169798,2,0
188,2020-09-23,1900.03,1905.31,1855.78,1863.4,199318,2,0
189,2020-09-24,1863.22,1877.08,1848.73,1868.41,200379,2,0
190,2020-09-25,1868.06,1875.17,1852.41,1860.28,160629,2,0
191,2020-09-28,1857.97,1883.05,1848.41,1881.78,146722,2,0
192,2020-09-29,1880.94,1899.16,1875.44,1897.02,136679,2,0
193,2020-09-30,1898.0,1902.26,1881.36,1885.55,152262,2,0
194,2020-10-01,1885.26,1911.97,1884.69,1904.96,155264,2,0
195,2020-10-02,1905.15,1917.07,1889.76,1899.24,137236,2,0
196,2020-10-05,1904.97,1918.81,1887.01,1913.35,113045,2,0
197,2020-10-06,1912.67,1921.02,1874.61,1875.0,129730,2,0
198,2020-10-07,1878.44,1898.05,1872.86,1887.93,145954,2,0
199,2020-10-08,1886.93,1900.68,1881.92,1893.53,130500,2,0
200,2020-10-09,1893.54,1930.44,1893.54,1930.16,142560,2,0
201,2020-10-12,1928.75,1933.19,1918.35,1922.48,149564,2,0
202,2020-10-13,1922.7,1925.44,1886.51,1891.28,175634,2,0
203,2020-10-14,1891.69,1912.94,1882.5,1900.9,156905,2,0
204,2020-10-15,1901.65,1908.95,1889.6,1908.02,171351,2,0
205,2020-10-16,1908.39,1913.94,1897.8,1898.62,140822,2,0
206,2020-10-19,1899.67,1918.48,1897.0,1903.79,148727,2,0
207,2020-10-20,1903.35,1914.1,1894.6,1907.45,138585,2,0
208,2020-10-21,1907.72,1931.38,1907.72,1924.42,142686,2,0
209,2020-10-22,1923.87,1926.0,1894.62,1903.83,135651,2,0
210,2020-10-23,1903.84,1914.2,1894.28,1901.67,105781,2,0
211,2020-10-26,1902.64,1908.62,1891.24,1902.2,127334,2,0
212,2020-10-27,1901.77,1911.36,1897.81,1907.58,102093,2,0
213,2020-10-28,1907.9,1910.88,1869.25,1877.37,148979,2,0
214,2020-10-29,1876.72,1884.97,1859.94,1867.73,149156,2,0
215,2020-10-30,1867.13,1889.81,1864.38,1878.38,157403,2,0
216,2020-11-02,1877.02,1896.04,1873.44,1895.68,136688,2,0
217,2020-11-03,1895.29,1910.57,1886.95,1909.57,115154,2,0
218,2020-11-04,1908.85,1916.43,1883.03,1903.0,198042,2,0
219,2020-11-05,1903.05,1952.76,1902.2,1949.46,171284,2,0
220,2020-11-06,1948.39,1960.36,1935.61,1951.23,155791,2,0
221,2020-11-09,1954.98,1965.51,1850.53,1862.13,208444,2,0
222,2020-11-10,1863.71,1890.39,1860.31,1877.24,172452,2,0
223,2020-11-11,1876.93,1884.47,1856.45,1865.25,127584,2,0
224,2020-11-12,1865.52,1883.87,1862.69,1876.85,129993,2,0
225,2020-11-13,1877.01,1896.82,1874.03,1889.44,112770,2,0
226,2020-11-16,1888.53,1899.06,1864.5,1888.83,141439,2,0
227,2020-11-17,1888.97,1893.44,1876.85,1880.21,117712,2,0
228,2020-11-18,1880.45,1884.84,1863.76,1872.31,113698,2,0
229,2020-11-19,1872.6,1874.08,1852.72,1866.02,112661,2,0
230,2020-11-20,1865.55,1879.73,1860.86,1870.91,91535,2,0
231,2020-11-23,1868.92,1876.12,1830.97,1837.83,113934,2,0
232,2020-11-24,1838.52,1839.0,1800.21,1807.37,153168,2,0
233,2020-11-25,1807.98,1817.73,1801.62,1807.74,103062,2,0
234,2020-11-26,1808.31,1818.24,1805.78,1810.26,60390,2,0
235,2020-11-27,1811.31,1813.83,1774.33,1786.71,100099,2,0
236,2020-11-30,1789.41,1789.89,1764.23,1776.72,135826,2,0
237,2020-12-01,1777.9,1817.3,1775.74,1815.04,109777,0,0
238,2020-12-02,1813.52,1832.41,1807.46,1830.51,104716,0,0
239,2020-12-03,1830.51,1843.95,1823.76,1840.92,109026,0,0
240,2020-12-04,1841.15,1848.23,1829.16,1838.84,90445,0,0
241,2020-12-07,1837.42,1868.54,1822.07,1862.19,105101,0,0
242,2020-12-08,1862.7,1875.29,1860.23,1870.24,101245,0,0
243,2020-12-09,1869.92,1870.52,1825.41,1839.87,146951,0,0
244,2020-12-10,1838.7,1850.01,1828.65,1836.64,141819,0,0
245,2020-12-11,1836.55,1847.71,1824.01,1839.55,126733,0,0
246,2020-12-14,1836.17,1839.03,1819.51,1827.0,116821,0,0
247,2020-12-15,1827.24,1855.39,1825.5,1853.27,121239,0,0
248,2020-12-16,1853.23,1865.76,1844.74,1864.55,147405,0,0
249,2020-12-17,1862.87,1896.21,1862.0,1885.42,144787,0,0
